"Study page name","Study design",PMID,DOI,URL,"Authors list",Title,Journal,Year,Abstract,State,Reviewer
"Study 11","time series / longitudinal observational",29234019,10.1038/s41598-017-17351-9,,"Curty G, Costa RL, Siqueira JD, Meyrelles AI, Machado ES, Soares EA , Soares MA","Analysis of the cervical microbiome and potential biomarkers from postpartum HIV-positive women displaying cervical intraepithelial lesions","Scientific reports",2017,"The cervical microbiota composition and diversity of HIV-positive women in the postpartum period is unknown. Using a high-throughput bacterial 16S rRNA gene sequencing, we identified four community state types (CSTs). CST III (Lactobacillusdominant) and CST IV (IV-A, IV-B.1, IV-B.2; high-diversity) were found in 41% and 59% of samples, respectively. We did not find association of any CST to postpartum period (six or twelve months), HPV infection or cytology (normal or lesion). However, five bacterial genera were associated with cervical lesions (Gardnerella, Aerococcus, Schlegelella, Moryella and Bifidobacterium), with significant odds ratio (OR) of 40 (2.28-706) for the presence of Moryella and 3.5 (1.36-8.9) for Schlegelella. Longitudinal analysis of samples at postpartum that regressed (lesion to normal), progressed (normal to lesion) and maintained the cytology (lesion or normal) evidenced Gardnerella with a significantly higher abundance in regressing lesions. In the current study, we report the first data on the cervical microbiota of HIV-positive women in the postpartum period. Consistent with previous studies of HIV-negative cohorts, HIV-positive women present a stable cervical microbiota of high-diversity in the postpartum period. Our results highlight that specific microbiota species may serve as sensors for changes in the cervical microenvironment associated with cervical lesions.",Complete,"Shaimaa Elsafoury"
"Study 12","time series / longitudinal observational",30341386,10.1038/s41598-018-33750-y,,"Arokiyaraj S, Seo SS, Kwon M, Lee JK , Kim MK","Association of cervical microbial community with persistence, clearance and negativity of Human Papillomavirus in Korean women: a longitudinal study","Scientific reports",2018,"The present study aimed to identify the cervical microbes that are associated with HPV negativity, HPV clearance and HPV persistence and to assess the microbes' longitudinal associations as related to HPV infection dynamics among Korean women. We enrolled 41 women with 107 samples, and classified them according to the HPV infection dynamics: HPV negativity (21 samples, 10 subjects), HPV clearance (42 samples, 15 subjects), and HPV persistence (44 samples, 16 subjects). Cervical swabs were collected at the baseline and six-month-interval follow-up visits. HPV positivity was determined by HPV DNA HC2 assay, and the microbiome was analyzed using 16SrRNA pyrosequencing, linear discriminant analysis effect size and multivariate logistic analysis. In the multivariate logistic analysis results, Lactobacillus crispatus (multivariate OR (mOR) = 8.25, 95% CI 2.13~32.0) was predominant in the HPV-negative group. We observed that Eubacterium eligens (mOR = 11.5, 95% CI 1.31~101.4), Gardnerella vaginalis (mOR = 17.0, 95% CI 2.18-131.8), and Ureaplasma urealyticum (mOR = 7.42, 95% CI 1.3-42.46) had the strongest associations with HPV clearance, and Lactobacillus johnsonii (mOR = 16.4, 95% CI 1.77-152.2) with HPV persistence. Overall, greater diversity was observed in HPV-persistence than in HPV-negative women. Our findings suggest that the presence and prevalence of a specific cervical microbiome are factors involved in HPV dynamics.",Complete,"Shaimaa Elsafoury"
"Study 13","cross-sectional observational, not case-control",29608253,10.1002/cam4.1471,,"Zhang C, Liu Y, Gao W, Pan Y, Gao Y, Shen J , Xiong H","The direct and indirect association of cervical microbiota with the risk of cervical intraepithelial neoplasia","Cancer medicine",2018,"Cervical microbiota composition is associated with cervical HPV infection and CIN severity. Previous studies only assessed the total association between cervical microbiota and HPV infections or CINs, and yet no study reported the direct and indirect associations between cervical microbiota and CINs mediated by HPV infection, respectively. The aim of this study was to investigate the direct and indirect associations between microbiotas and CIN severity. Cervical microbiota of 126 women with CIN 1- (normal cytology and CIN 1) and 40 with CIN 2+ (CIN 2 and CIN 3) were analyzed using Illumina sequencing based on the 16S rRNA gene. HPV was detected using a highly sensitive PCR primer set (SPF1/GP6+). Indirect effects of Pseudomonas stutzeri, Bacteroides fragilis, Lactobacillus delbrueckii, Atopobium vaginae, and Streptococcus agalactiae mediated by HPV infection on CIN status were observed. The directions of the direct and the indirect associations between CIN status and Ps. stutzeri were opposite. The directions of the direct and the indirect associations between CIN status and A. vaginae were the same. B. fragilis, L. delbrueckii, and S. agalactiae only had indirect association with CIN status. In summary, our study provided suggestive evidence that some microbial populations could have direct or indirect effects mediated by affecting HPV infection on CIN progression. Besides HPV infection, microbial community composition possibly plays a role in cervical carcinogenesis.",Complete,"Shaimaa Elsafoury"
"Study 14",case-control,28875948,10.1088/1752-7163/aa7c24,,"Seerangaiyan K, van Winkelhoff AJ, Harmsen HJM, Rossen JWA , Winkel EG","The tongue microbiome in healthy subjects and patients with intra-oral halitosis","Journal of breath research",2017,"Intra-oral halitosis (IOH) is an unpleasant odor emanating from the oral cavity. It is thought that the microbiota of the dorsal tongue coating plays a crucial role in this condition. The aim of the study was to investigate the composition of the tongue microbiome in subjects with and without IOH. A total of 26 subjects, 16 IOH patients and 10 healthy subjects were recruited based on their organoleptic score and volatile sulfur compound (VSC) measurements. The composition of the tongue microbiome was studied using the 16s amplicon sequencing of the V3-V4 hyper variable region with an Illumina MiSeq. The sequenced data were analyzed using QIIME, and the sequences obtained were distributed across 7 phyla, 27 genera and 825 operational taxonomic units (OTUs). At a higher taxon level, TM7 was associated with IOH patients whereas Gemellaceae was significantly abundant in the healthy subjects. At OTU level, we found several significant OTUs that differentiated the IOH patients from the controls. These included Aggregatibacter (OTU id 4335776), Aggregatibacter segnis (A. segnis), Campylobacter, Capnocytophaga, Clostridiales, Dialister, Leptotrichia, Parvimonas, Peptostreptococcus, Peptococcus, Prevotella, Selenomonas, SR1, Tannerella, TM7-3 and Treponema in the IOH group. In the control group, Aggregatibacter (OTU id 4363066), Haemophilus, Haemophilus parainfluenza (H. parainfluenza), Moryella, Oribacterium, Prevotella, several Streptococcus, Rothia dentocariosa (R. dentocariosa) and OTU from Gemellaceae were significantly abundant. Based on our observation, it was concluded that the bacterial qualitative composition of the IOH and the control group was almost the same, except for the few above-mentioned bacterial species and genera.",Complete,"Shaimaa Elsafoury"
"Study 15","cross-sectional observational, not case-control",28932201,10.3389/fphys.2017.00675,,"Zheng J, Xiao X, Zhang Q, Mao L, Yu M, Xu J , Wang T","The Placental Microbiota Is Altered among Subjects with Gestational Diabetes Mellitus: A Pilot Study","Frontiers in physiology",2017,"Gestational diabetes mellitus (GDM) has significant implications for the future health of the mother and child. However, the associations between human placental microbiota and GDM are poorly understood. We aimed to profile the placental microbiota of GDM and further define whether or not certain placental microbiota taxon correlates with specific clinical characteristics. Placenta were collected from GDM women and women with normal pregnancies (n = 10, in each group) consecutively recruited at Peking Union Medical College Hospital. The anthropometric parameters of mother and infant, and cord blood hormones, including insulin, leptin and insulin-like growth factor-1 (IGF-1) were measured. Bacterial genomic DNA was isolated using magnetic beads and the human placental microbiota was analyzed using the Illumina MiSeq Sequencing System based on the V3-V4 hypervariable regions of the 16S rRNA gene. It showed there was no statistical difference in the clinical characteristics of mothers and infants, such as BMI at the beginning of pregnancy and gestational weight gain (GWG), birth weight, and cord blood hormones, including insulin, leptin and IGF-1. We found that the placental microbiota is composed of four dominant phyla from Proteobacteria (the most abundant), Bacteroidetes, Actinobacteria and Firmicutes, with the proportion of Proteobacteria increased, and Bacteroidetes and Firmicutes were decreased of women with GDM. Further analyses suggested that bacterial taxonomic composition of placentas from the phylum level down to the bacteria level, differed significantly between women with GDM and non-GDM women with normal pregnancies. Regression analysis showed a cluster of key operational taxonomic units (OTUs), phyla and genera were significantly correlated with GWG during pregnancy of mothers, and cord blood insulin, IGF-1 and leptin concentrations. In conclusion, our novel study showed that a distinct placental microbiota profile is present in GDM, and is associated with clinical characteristics of mothers and infants. This study contributes to the theoretical foundation on the potential relationship between placental microbiota and GDM.",Complete,"Shaimaa Elsafoury"
"Study 16","laboratory experiment",28199741,10.1111/jpi.12399,,"Xu P, Wang J, Hong F, Wang S, Jin X, Xue T, Jia L , Zhai Y","Melatonin prevents obesity through modulation of gut microbiota in mice","Journal of pineal research",2017,"Excess weight and obesity are severe public health threats worldwide. Recent evidence demonstrates that gut microbiota dysbiosis contributes to obesity and its comorbidities. The body weight-reducing and energy balancing effects of melatonin have been reported in several studies, but to date, no investigations toward examining whether the beneficial effects of melatonin are associated with gut microbiota have been carried out. In this study, we show that melatonin reduces body weight, liver steatosis, and low-grade inflammation as well as improving insulin resistance in high fat diet (HFD)-fed mice. High-throughput pyrosequencing of the 16S rRNA demonstrated that melatonin treatment significantly changed the composition of the gut microbiota in mice fed an HFD. The richness and diversity of gut microbiota were notably decreased by melatonin. HFD feeding altered 69 operational taxonomic units (OTUs) compare with a normal chow diet (NCD) group, and melatonin supplementation reversed 14 OTUs to the same configuration than those present in the NCD group, thereby impacting various functions, in particular through its ability to decrease the Firmicutes-to-Bacteroidetes ratio and increase the abundance of mucin-degrading bacteria Akkermansia, which is associated with healthy mucosa. Taken together, our results suggest that melatonin may be used as a probiotic agent to reverse HFD-induced gut microbiota dysbiosis and help us to gain a better understanding of the mechanisms governing the various melatonin beneficial effects.",Complete,"Shaimaa Elsafoury"
"Study 17","cross-sectional observational, not case-control",30029052,10.1016/j.jpsychires.2018.07.007,,"Jiang HY, Zhang X, Yu ZH, Zhang Z, Deng M, Zhao JH , Ruan B","Altered gut microbiota profile in patients with generalized anxiety disorder","Journal of psychiatric research",2018,"Close relationships have recently been established between gut microbiota and some mental disorders. Here, we performed a systematic comparative analysis of the gut microbiome in patients with generalized anxiety disorder (GAD) and healthy controls (HCs). We first conducted a cross-sectional study of 40 patients with GAD in the active state and 36 HCs. Second, subgroup analysis consisting of 12 antidepressant-naive patients and 22 controls was performed to validate the results. Finally, a prospective study was performed in a subgroup of nine patients with GAD who underwent analysis in the active state of anxiety and in remission. Compared with the HCs, we found markedly decreased microbial richness and diversity, distinct metagenomic composition with reduced short-chain fatty acid (SCFA)-producing bacteria (associated with a healthy status) and overgrowth of bacteria, such as Escherichia-Shigella, Fusobacterium and Ruminococcus gnavus. Unexpectedly, these changes in the genera were not reversed in remissive GAD. This study identified microbiota dysbiosis of gut microbiota in GAD patients, suggesting that targeting the microbiome may be a useful therapeutic and preventive target for GAD.",Complete,"Shaimaa Elsafoury"
"Study 18","laboratory experiment",28390422,10.1186/s40168-017-0258-6,,"Xiao L, Sonne SB, Feng Q, Chen N, Xia Z, Li X, Fang Z, Zhang D, Fjære E, Midtbø LK, Derrien M, Hugenholtz F, Tang L, Li J, Zhang J, Liu C, Hao Q, Vogel UB, Mortensen A, Kleerebezem M, Licht TR, Yang H, Wang J, Li Y, Arumugam M, Wang J, Madsen L , Kristiansen K","High-fat feeding rather than obesity drives taxonomical and functional changes in the gut microbiota in mice",Microbiome,2017,"BACKGROUND: It is well known that the microbiota of high-fat (HF) diet-induced obese mice differs from that of lean mice, but to what extent, this difference reflects the obese state or the diet is unclear. To dissociate changes in the gut microbiota associated with high HF feeding from those associated with obesity, we took advantage of the different susceptibility of C57BL/6JBomTac (BL6) and 129S6/SvEvTac (Sv129) mice to diet-induced obesity and of their different responses to inhibition of cyclooxygenase (COX) activity, where inhibition of COX activity in BL6 mice prevents HF diet-induced obesity, but in Sv129 mice accentuates obesity. RESULTS: Using HiSeq-based whole genome sequencing, we identified taxonomic and functional differences in the gut microbiota of the two mouse strains fed regular low-fat or HF diets with or without supplementation with the COX-inhibitor, indomethacin. HF feeding rather than obesity development led to distinct changes in the gut microbiota. We observed a robust increase in alpha diversity, gene count, abundance of genera known to be butyrate producers, and abundance of genes involved in butyrate production in Sv129 mice compared to BL6 mice fed either a LF or a HF diet. Conversely, the abundance of genes involved in propionate metabolism, associated with increased energy harvest, was higher in BL6 mice than Sv129 mice. CONCLUSIONS: The changes in the composition of the gut microbiota were predominantly driven by high-fat feeding rather than reflecting the obese state of the mice. Differences in the abundance of butyrate and propionate producing bacteria in the gut may at least in part contribute to the observed differences in obesity propensity in Sv129 and BL6 mice.",Complete,"Shaimaa Elsafoury"
"Study 19","cross-sectional observational, not case-control",29352709,10.1016/j.schres.2018.01.002,,"Shen Y, Xu J, Li Z, Huang Y, Yuan Y, Wang J, Zhang M, Hu S , Liang Y","Analysis of gut microbiota diversity and auxiliary diagnosis as a biomarker in patients with schizophrenia: A cross-sectional study","Schizophrenia research",2018,"With the advent of sequencing technology, characterization of schizophrenia with underlying probing of gut microbiome can provide abundant clues for diagnosis and prognosis of schizophrenia. In this study, we first compared the difference of gut microbiota between schizophrenia patients and healthy controls by 16S rRNA sequencing. We further explored whether gut microbiota can be used as a biomarker to assist in the diagnosis of schizophrenia. We restricted inclusion criteria strictly to control confounding bias. Finally, we investigated differences in fecal microbiota between 64 schizophrenia patients and 53 healthy controls. At the phylum level, we found that the abundance of Proteobacteria in the schizophrenia patients was significantly increased. At the genus level, the relative abundance of Succinivibrio, Megasphaera, Collinsella, Clostridium, Klebsiella and Methanobrevibacter was significantly higher whereas the abundance of Blautia, Coprococcus, Roseburia was decreased compared to health controls. The receiver operating characteristic curve analysis demonstrated that 12 significant microbiota biomarkers were capable of being used as diagnostic factors for distinguishing the schizophrenia cohort from those in the control cohort (AUC = 0.837). We performed PICRUSt analysis and found that several metabolic pathways differed significantly between healthy controls and schizophrenia patients, including vitamin B6 and fatty acid. In conclusion, there are some difference of gut microbiota between schizophrenia patients and healthy controls and the insights from this study could be used to develop microbiota-based diagnosis for schizophrenia.",Complete,"Shaimaa Elsafoury"
"Study 20",case-control,26600078,10.1002/hep.28356,,"Boursier J, Mueller O, Barret M, Machado M, Fizanne L, Araujo-Perez F, Guy CD, Seed PC, Rawls JF, David LA, Hunault G, Oberti F, Calès P , Diehl AM","The severity of nonalcoholic fatty liver disease is associated with gut dysbiosis and shift in the metabolic function of the gut microbiota","Hepatology (Baltimore, Md.)",2016,"UNLABELLED: Several animal studies have emphasized the role of gut microbiota in nonalcoholic fatty liver disease (NAFLD). However, data about gut dysbiosis in human NAFLD remain scarce in the literature, especially studies including the whole spectrum of NAFLD lesions. We aimed to evaluate the association between gut dysbiosis and severe NAFLD lesions, that is, nonalcoholic steatohepatitis (NASH) and fibrosis, in a well-characterized population of adult NAFLD. Fifty-seven patients with biopsy-proven NAFLD were enrolled. Taxonomic composition of gut microbiota was determined using 16S ribosomal RNA gene sequencing of stool samples. Thirty patients had F0/F1 fibrosis stage at liver biopsy (10 with NASH), and 27 patients had significant F≥2 fibrosis (25 with NASH). Bacteroides abundance was significantly increased in NASH and F≥2 patients, whereas Prevotella abundance was decreased. Ruminococcus abundance was significantly higher in F≥2 patients. By multivariate analysis, Bacteroides abundance was independently associated with NASH and Ruminococcus with F≥2 fibrosis. Stratification according to the abundance of these two bacteria generated three patient subgroups with increasing severity of NAFLD lesions. Based on imputed metagenomic profiles, Kyoto Encyclopedia of Genes and Genomes pathways significantly related to NASH and fibrosis F≥2 were mostly related to carbohydrate, lipid, and amino acid metabolism. CONCLUSION: NAFLD severity associates with gut dysbiosis and a shift in metabolic function of the gut microbiota. We identified Bacteroides as independently associated with NASH and Ruminococcus with significant fibrosis. Thus, gut microbiota analysis adds information to classical predictors of NAFLD severity and suggests novel metabolic targets for pre-/probiotics therapies.",Complete,"Shaimaa Elsafoury"
"Study 21","cross-sectional observational, not case-control",25763184,10.1186/s40168-015-0072-y,,"Ross MC, Muzny DM, McCormick JB, Gibbs RA, Fisher-Hoch SP , Petrosino JF","16S gut community of the Cameron County Hispanic Cohort",Microbiome,2015,"BACKGROUND: Obesity and type 2 diabetes (T2D) are major public health concerns worldwide, and their prevalence has only increased in recent years. Mexican Americans are disproportionately afflicted by obesity and T2D, and rates are even higher in the United States-Mexico border region. To determine the factors associated with the increased risk of T2D, obesity, and other diseases in this population, the Cameron County Hispanic Cohort was established in 2004. RESULTS: In this study, we characterized the 16S gut community of a subset of 63 subjects from this unique cohort. We found that these communities, when compared to Human Microbiome Project subjects, exhibit community shifts often observed in obese and T2D individuals in published studies. We also examined microbial network relationships between operational taxonomic units (OTUs) in the Cameron County Hispanic Cohort (CCHC) and three additional datasets. We identified a group of seven genera that form a tightly interconnected network present in all four tested datasets, dominated by butyrate producers, which are often increased in obese individuals while being depleted in T2D patients. CONCLUSIONS: Through a combination of increased disease prevalence and relatively high gut microbial homogeneity in the subset of CCHC members we examined, we believe that the CCHC may represent an ideal community to dissect mechanisms underlying the role of the gut microbiome in human health and disease. The lack of CCHC subject gut community segregation based on all tested metadata suggests that the community structure we observe in the CCHC likely occurs early in life, and endures. This persistent 'disease'-related gut microbial community in CCHC subjects may enhance existing genetic or lifestyle predispositions to the prevalent diseases of the CCHC, leading to increased attack rates of obesity, T2D, non-alcoholic fatty liver disease, and others.",Complete,"Shaimaa Elsafoury"
"Study 22","cross-sectional observational, not case-control",28429209,10.1007/s10517-017-3700-7,,"Petrov VA, Saltykova IV, Zhukova IA, Alifirova VM, Zhukova NG, Dorofeeva YB, Tyakht AV, Kovarsky BA, Alekseev DG, Kostryukova ES, Mironova YS, Izhboldina OP, Nikitina MA, Perevozchikova TV, Fait EA, Babenko VV, Vakhitova MT, Govorun VM , Sazonov AE","Analysis of Gut Microbiota in Patients with Parkinson's Disease","Bulletin of experimental biology and medicine",2017,"Gut microbiota of patients with Parkinson's disease and healthy volunteers was analyzed by the method of high throughput 16S rRNA sequencing of bacterial genomes. In patients with Parkinson's diseases, changes in the content of 9 genera and 15 species of microorganisms were revealed: reduced content of Dorea, Bacteroides, Prevotella, Faecalibacterium, Bacteroides massiliensis, Stoquefichus massiliensis, Bacteroides coprocola, Blautia glucerasea, Dorea longicatena, Bacteroides dorei, Bacteroides plebeus, Prevotella copri, Coprococcus eutactus, and Ruminococcus callidus, and increased content of Christensenella, Catabacter, Lactobacillus, Oscillospira, Bifidobacterium, Christensenella minuta, Catabacter hongkongensis, Lactobacillus mucosae, Ruminococcus bromii, and Papillibacter cinnamivorans. This microbiological pattern of gut microflora can trigger local inflammation followed by aggregation of α-synuclein and generation of Lewy bodies.",Complete,"Shaimaa Elsafoury"
"Study 23",case-control,29051531,10.1038/s41598-017-13601-y,,"Vogt NM, Kerby RL, Dill-McFarland KA, Harding SJ, Merluzzi AP, Johnson SC, Carlsson CM, Asthana S, Zetterberg H, Blennow K, Bendlin BB , Rey FE","Gut microbiome alterations in Alzheimer's disease","Scientific reports",2017,"Alzheimer's disease (AD) is the most common form of dementia. However, the etiopathogenesis of this devastating disease is not fully understood. Recent studies in rodents suggest that alterations in the gut microbiome may contribute to amyloid deposition, yet the microbial communities associated with AD have not been characterized in humans. Towards this end, we characterized the bacterial taxonomic composition of fecal samples from participants with and without a diagnosis of dementia due to AD. Our analyses revealed that the gut microbiome of AD participants has decreased microbial diversity and is compositionally distinct from control age- and sex-matched individuals. We identified phylum- through genus-wide differences in bacterial abundance including decreased Firmicutes, increased Bacteroidetes, and decreased Bifidobacterium in the microbiome of AD participants. Furthermore, we observed correlations between levels of differentially abundant genera and cerebrospinal fluid (CSF) biomarkers of AD. These findings add AD to the growing list of diseases associated with gut microbial alterations, as well as suggest that gut bacterial communities may be a target for therapeutic intervention.",Complete,"Shaimaa Elsafoury"
